Depth (m),BGB (g) Core 1 - Site A 2022,BGB (g) Core 2 - Site A 2022,BGB (g) Core 3 - Site A 2022,BGB (g) Core 1 - Site B 2022,BGB (g) Core 2 - Site B 2022,BGB (g) Core 3 - Site B 2022,BGB (g) Core 4 - Site B 2022,BGB (g) Core 1 - Site C 2022,BGB (g) Core 2 - Site C 2022,BGB (g) Core 3 - Site C 2022,BGB (g) Core 4 - Site C 2022
-0.02,1.952,1.001,0.917,1.268,1.931,1.116,1.001,5.463,4.714,7.362,2.944
-0.04,1.792,1.356,0.659,1.202,1.591,1.1131,1.06,4.605,4.016,6.959,2.68
-0.06,1.692,0.065,1.631,0.466,1.405,1.0431,0.731,4.417,4.579,5.97,2.438
-0.08,1.71,0.755,0.643,0.56,1.483,1.1713,0.891,5.974,5.914,6.248,4.629
-0.10,1.355,0.368,0.608,1.28,1.058,0.937,0.528,6.283,6.703,5.97,4.889
-0.12,0.258,0.691,0.26,0.852,0.856,0.726,0.673,5.729,7.354,6.248,2.284
-0.14,0.026,0.98,0.605,1.131,1.18,0.823,0.696,5.125,4.638,5.862,2.161
-0.16,0.028,0.973,0.535,0.977,1.153,0.7491,0.754,4.975,3.74,5.833,2.767
-0.18,0.368,0.68,0.439,0.693,1.293,0.8679,0.691,3.97,3.132,4.857,1.894
-0.20,0.096,0.809,0.538,1.506,0.999,1.0347,0.789,2.746,3.511,2.729,1.668
-0.22,0.535,0.703,0.669,0.59,1.934,1.157,0.699,2.941,3.549,1.588,2.007
-0.24,0.251,0.515,0.448,1.614,0.74,1.355,0.676,2.434,3.441,1.152,3.177
-0.26,0.018,0.103,0.427,0.919,0.819,1.5488,1.46,2.785,3.52,1.034,1.43
-0.28,0.656,0.073,0.31,0.686,1.087,0.788,1.116,2.6,2.774,1.113,2.692
-0.30,0.754,0.097,0.271,0.477,0.332,2.602,0.64,2.414,1.99,1.28,2.288
