Depth (m),BGB (g) Site A Core 1,BGB (g) Site A Core 2,BGB (g) Core 3 - Site A 2023,BGB (g) Core 1 - Site B 2023,BGB (g) Core 2 - Site B 2023,BGB (g) Core 3 - Site B 2023,BGB (g) Core 4 - Site B 2023,BGB (g) Core 1 - Site C 2023,BGB (g) Core 2 - Site C 2023,BGB (g) Core 3 - Site C 2023,BGB (g) Core 4 - Site C 2023
-0.02,0.535,0.270,0.548,0.828,1.201,0.8568,0.983,3.181,4.016,4.5,2.179
-0.04,0.567,,0.231,0.786,1.056,0.925,0.842,3.231,3.757,4.891,2.458
-0.06,0.172,0.117,0.072,0.072,0.333,0.904,0.892,4.221,4.382,4.509,2.423
-0.08,0.649,0.168,0.375,1.016,1.008,0.883,0.607,5.302,6.047,3.882,2.302
-0.10,0.276,0.220,0.042,0.46,0.594,0.934,0.659,5.206,5.757,4.65,2.712
-0.12,0.004,0.149,0.051,0.795,0.64,0.5164,0.441,5.561,5.134,4.54,2.525
-0.14,0.260,0.027,0.032,0.84,0.877,0.534,0.591,5.026,3.883,4.784,2.882
-0.16,0.028,0.024,0.010,0.978,0.763,0.704,0.463,4.16,3.748,3.922,1.941
-0.18,0.000,0.019,0.028,0.498,1.144,0.666,0.73,3.94,2.76,3.209,1.265
-0.20,0.096,0.044,0.073,1.396,1.645,0.9671,0.565,3.461,2.763,3.467,1.476
-0.22,0.044,0.021,0.034,1.355,1.552,0.818,0.675,2.598,2.807,3.128,1.257
-0.24,0.032,0.025,0.023,0.491,1.033,1.2367,0.227,2.622,2.929,3.253,2.295
-0.26,0.018,,0.007,0.627,0.833,0.5992,0.323,2.619,3.225,2.086,1.026
-0.28,0.018,,0.011,0.538,2.308,0.661,0.494,2.129,3.873,2.917,2.158
-0.30,0.034,,0.042,0.47,2.161,0.801,0.169,2.476,4.313,2.484,1.972
